ST_CASE,PERSON_RECORD_COUNT
10001,1
10002,1
10003,1
10004,3
10005,4
10006,1
10007,2
10008,2
10009,3
10010,4
10011,1
10012,1
10013,4
10014,2
10015,2
10016,4
10017,2
10018,2
10019,2
10020,5
10021,2
10022,1
10023,2
10024,2
10025,1
10026,2
10027,1
10028,1
10029,6
10030,2
10031,2
10032,2
10033,1
10034,2
10035,3
10037,2
10038,3
10039,2
10040,5
10041,3
10042,3
10043,1
10044,1
10045,6
10046,2
10047,2
10048,2
10049,1
10050,4
10051,2
10052,3
10053,1
10054,2
10055,4
10056,1
10057,2
10058,1
10059,2
10060,3
10061,2
10062,2
10063,2
10064,2
10065,2
10066,2
10067,2
10068,1
10069,2
10070,2
10071,2
10072,1
10073,6
10074,5
10075,2
10076,3
10077,1
10078,1
10079,1
10080,3
10081,2
10082,2
10083,2
10084,2
10085,2
10086,3
10087,3
10088,2
10089,2
10090,3
10091,2
10092,1
10093,1
10094,5
10095,1
10096,2
10097,2
10098,2
10099,2
10100,5
10101,1
10102,2
10103,1
10104,1
10105,1
10106,3
10107,2
10108,2
10109,2
10110,1
10111,5
10112,1
10113,1
10114,2
10115,4
10116,1
10117,2
10118,2
10119,1
10120,4
10121,1
10122,2
10123,2
10124,6
10125,4
10126,2
10127,1
10128,2
10129,2
10130,3
10131,2
10132,3
10133,3
10134,2
10136,1
10137,1
10138,2
10139,3
10140,2
10141,2
10142,1
10143,2
10144,3
10145,1
10146,3
10147,3
10148,2
10149,2
10150,2
10151,2
10152,2
10153,2
10154,3
10155,4
10156,3
10157,2
10158,1
10159,2
10160,5
10161,1
10162,1
10163,2
10164,6
10165,2
10166,1
10167,3
10168,3
10169,2
10170,2
10171,6
10172,2
10173,1
10174,3
10175,1
10176,4
10177,3
10178,7
10179,2
10180,3
10181,7
10182,1
10183,1
10184,2
10185,2
10186,1
10187,1
10188,1
10189,1
10190,1
10191,5
10192,2
10193,1
10194,2
10195,3
10196,2
10197,2
10198,4
10199,7
10200,2
10201,2
10202,1
10203,2
10204,9
10205,2
10206,2
10207,4
10208,2
10209,2
10210,1
10211,2
10212,2
10213,2
10214,3
10215,1
10217,2
10218,4
10219,5
10220,1
10221,2
10222,2
10223,2
10224,1
10225,1
10226,3
10227,1
10228,1
10229,1
10230,1
10231,7
10232,2
10233,2
10234,4
10235,6
10236,2
10237,2
10238,3
10239,2
10240,1
10241,5
10242,1
10243,3
10244,2
10245,2
10246,2
10247,1
10248,2
10249,2
10250,3
10251,1
10252,1
10253,1
10254,2
10255,1
10256,3
10257,2
10258,2
10259,3
10260,1
10261,5
10262,1
10263,2
10264,2
10265,2
10266,1
10267,1
10268,1
10269,1
10270,3
10271,4
10272,5
10273,2
10274,2
10275,2
10276,1
10277,2
10278,1
10279,3
10280,2
10281,3
10282,2
10283,1
10284,4
10285,10
10286,4
10287,3
10288,2
10289,2
10290,2
10291,1
10292,1
10293,1
10294,1
10295,2
10296,4
10297,2
10298,4
10299,7
10300,1
10301,1
10302,2
10303,3
10304,7
10305,1
10306,1
10307,1
10308,3
10309,6
10310,1
