ST_CASE,VEHICLE_RECORD_COUNT
10001,1
10002,1
10003,1
10004,1
10005,1
10006,1
10007,2
10008,1
10009,1
10010,2
10011,1
10012,1
10013,2
10014,1
10015,2
10016,1
10017,2
10018,1
10019,2
10020,2
10021,1
10022,1
10023,2
10024,1
10025,1
10026,3
10027,1
10028,1
10029,3
10030,2
10031,2
10032,2
10033,1
10034,2
10035,2
10037,2
10038,1
10039,1
10040,2
10041,1
10042,1
10043,1
10044,1
10045,3
10046,2
10047,2
10048,1
10049,1
10050,1
10051,2
10052,1
10053,1
10054,1
10055,2
10056,1
10057,2
10058,1
10059,2
10060,2
10061,1
10062,1
10063,1
10064,2
10065,1
10066,2
10067,1
10068,1
10069,2
10070,2
10071,2
10072,1
10073,2
10074,2
10075,2
10076,2
10077,1
10078,1
10079,1
10080,2
10081,1
10082,1
10083,2
10084,2
10085,2
10086,1
10087,1
10088,1
10089,2
10090,2
10091,2
10092,1
10093,1
10094,4
10095,1
10096,2
10097,2
10098,2
10099,2
10100,3
10101,1
10102,2
10103,1
10104,1
10105,1
10106,2
10107,1
10108,2
10109,1
10110,1
10111,2
10112,1
10113,1
10114,1
10115,1
10116,1
10117,1
10118,1
10119,1
10120,2
10121,1
10122,2
10123,1
10124,2
10125,2
10126,2
10127,1
10128,2
10129,1
10130,1
10131,1
10132,2
10133,2
10134,2
10136,1
10137,1
10138,1
10139,2
10140,1
10141,1
10142,1
10143,2
10144,2
10145,1
10146,2
10147,2
10148,2
10149,2
10150,2
10151,1
10152,2
10153,2
10154,2
10155,3
10156,2
10157,1
10158,1
10159,2
10160,3
10161,1
10162,1
10163,1
10164,2
10165,1
10166,1
10167,1
10168,1
10169,1
10170,2
10171,3
10172,1
10173,1
10174,2
10175,1
10176,2
10177,1
10178,2
10179,1
10180,1
10181,2
10182,1
10183,1
10184,1
10185,2
10186,1
10187,1
10188,1
10189,1
10190,1
10191,2
10192,1
10193,1
10194,1
10195,2
10196,1
10197,2
10198,2
10199,2
10200,1
10201,2
10202,1
10203,2
10204,3
10205,1
10206,1
10207,3
10208,2
10209,1
10210,1
10211,2
10212,2
10213,2
10214,2
10215,1
10217,2
10218,2
10219,1
10220,1
10221,2
10222,1
10223,1
10224,2
10225,1
10226,2
10227,1
10228,1
10229,1
10230,1
10231,3
10232,2
10233,2
10234,4
10235,2
10236,1
10237,2
10238,1
10239,2
10240,1
10241,2
10242,1
10243,1
10244,2
10245,1
10246,1
10247,1
10248,2
10249,1
10250,2
10251,1
10252,1
10253,1
10254,2
10255,1
10256,1
10257,2
10258,1
10259,3
10260,1
10261,2
10262,1
10263,1
10264,1
10265,1
10266,1
10267,1
10268,1
10269,1
10270,1
10271,2
10272,1
10273,2
10274,2
10275,1
10276,1
10277,1
10278,1
10279,1
10280,2
10281,2
10282,1
10283,1
10284,2
10285,4
10286,2
10287,1
10288,1
10289,1
10290,1
10291,1
10292,1
10293,1
10294,1
10295,1
10296,1
10297,1
10298,2
10299,4
10300,1
10301,1
10302,2
10303,2
10304,4
10305,1
10306,1
10307,1
10308,2
10309,2
10310,1
